prcp,tmin,tmax,rh_mean,rh_max,dew_point,solar_rad,cloud_cover,daylight_hours,sunshine_hours,is_weekend,is_holiday,day_of_week,tavg,hdd,cdd,tavg_3day,cdd_3day,hdd_3day,tavg_lag1,lag_0,lag_1,lag_2,lag_3,lag_7,lag_14,lag_21,lag_28,lag_365,lag_366,rolling_7,rolling_30
0.26,45.0,70.0,72,98,43.0,10.23,68,11.85,5.31,0,0,4,57.5,0.0,0.0,51.3,0.0,1.2,46.5,126067,128016.0,124617.0,125748.0,132096.0,138016.0,141414.0,139289.0,132981.0,137522.0,124685.1,129902.5
0.0,43.0,57.0,44,54,25.6,18.91,48,11.9,10.79,1,0,5,50.0,0.0,0.0,51.3,0.0,1.2,57.5,114037,126067.0,128016.0,124617.0,122125.0,129490.0,125920.0,134595.0,130524.0,132981.0,123823.9,129653.3
0.0,40.0,54.0,52,75,26.4,19.45,34,11.94,10.98,1,0,6,47.0,3.0,0.0,51.5,0.0,1.0,50.0,112339,114037.0,126067.0,128016.0,113235.0,126062.0,119214.0,126028.0,118295.0,130524.0,122668.4,128918.7
0.0,33.0,45.0,57,71,22.7,17.67,48,11.99,10.02,0,0,0,39.0,11.0,0.0,45.3,0.0,4.7,47.0,125963,112339.0,114037.0,126067.0,126959.0,131611.0,129724.0,125814.0,120153.0,118295.0,122540.4,128020.3
0.16,41.0,54.0,82,96,38.7,8.64,82,12.03,4.64,0,0,1,47.5,2.5,0.0,44.5,0.0,5.5,39.0,123622,125963.0,112339.0,114037.0,125748.0,128988.0,130168.0,134632.0,134932.0,120153.0,122398.1,127732.6
0.0,41.0,54.0,65,85,31.8,18.87,56,12.08,10.38,0,0,2,47.5,2.5,0.0,44.7,0.0,5.3,47.5,120106,123622.0,125963.0,112339.0,124617.0,128251.0,131364.0,131988.0,133841.0,134932.0,122094.4,127652.4
0.93,41.0,52.0,84,94,41.9,9.62,96,12.12,2.89,0,0,3,46.5,3.5,0.0,47.2,0.0,2.8,47.5,121029,120106.0,123622.0,125963.0,128016.0,129517.0,133929.0,138646.0,132471.0,133841.0,121450.0,127462.1
0.0,47.0,77.0,80,97,51.1,9.24,94,12.17,4.26,0,0,4,62.0,0.0,0.0,52.0,0.0,2.0,46.5,117898,121029.0,120106.0,123622.0,126067.0,132096.0,138016.0,141414.0,133776.0,132471.0,120451.9,127008.7
0.0,40.0,65.0,45,60,26.0,19.46,60,12.21,10.41,1,0,5,52.5,0.0,0.0,53.7,0.0,1.2,62.0,108006,117898.0,121029.0,120106.0,114037.0,122125.0,129490.0,125920.0,133807.0,133776.0,119284.9,126539.0
0.0,33.0,45.0,51,70,19.7,14.98,72,12.26,10.16,1,0,6,39.0,11.0,0.0,51.2,0.0,3.7,52.5,110110,108006.0,117898.0,121029.0,112339.0,113235.0,126062.0,119214.0,123832.0,133807.0,118423.3,125517.7
